,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status,circuitId,name,country,year
849,7694,8,20,9,15.0,1,1.0,1,1,10.0,60,22:49.3,4969328.0,16.0,1.0,01:20.7,229.238,Finished,9,Silverstone Circuit,UK,2009
850,7695,8,17,9,14.0,3,2.0,2,2,8.0,60,15.188,4984516.0,57.0,2.0,01:20.9,228.728,Finished,9,Silverstone Circuit,UK,2009
851,7696,8,22,23,23.0,2,3.0,3,3,6.0,60,41.175,5010503.0,18.0,5.0,01:21.4,227.285,Finished,9,Silverstone Circuit,UK,2009
852,7697,8,13,6,3.0,11,4.0,4,4,5.0,60,45.043,5014371.0,22.0,6.0,01:21.5,227.062,Finished,9,Silverstone Circuit,UK,2009
853,7698,8,3,3,16.0,7,5.0,5,5,4.0,60,45.915,5015243.0,17.0,3.0,01:21.1,228.336,Finished,9,Silverstone Circuit,UK,2009
854,7699,8,18,23,22.0,6,6.0,6,6,3.0,60,46.285,5015613.0,54.0,4.0,01:21.2,227.956,Finished,9,Silverstone Circuit,UK,2009
855,7700,8,15,7,9.0,4,7.0,7,7,2.0,60,+1:08.307,5037635.0,17.0,9.0,01:21.8,226.237,Finished,9,Silverstone Circuit,UK,2009
856,7701,8,8,6,4.0,9,8.0,8,8,1.0,60,+1:09.622,5038950.0,14.0,7.0,01:21.7,226.653,Finished,9,Silverstone Circuit,UK,2009
857,7702,8,10,7,10.0,8,9.0,9,9,0.0,60,+1:09.823,5039151.0,51.0,8.0,01:21.7,226.611,Finished,9,Silverstone Circuit,UK,2009
858,7703,8,21,10,21.0,16,10.0,10,10,0.0,60,+1:11.522,5040850.0,20.0,10.0,01:21.8,226.226,Finished,9,Silverstone Circuit,UK,2009
859,7704,8,6,3,17.0,5,11.0,11,11,0.0,60,+1:14.023,5043351.0,14.0,11.0,01:21.8,226.129,Finished,9,Silverstone Circuit,UK,2009
860,7714,9,17,9,14.0,1,1.0,1,1,10.0,60,36:43.3,5803310.0,37.0,3.0,01:34.0,197.151,Finished,20,NÌ_rburgring,Germany,2009
861,7715,9,20,9,15.0,4,2.0,2,2,8.0,60,9.252,5812562.0,42.0,4.0,01:34.1,196.97,Finished,20,NÌ_rburgring,Germany,2009
862,7716,9,13,6,3.0,8,3.0,3,3,6.0,60,15.906,5819216.0,53.0,8.0,01:34.5,196.201,Finished,20,NÌ_rburgring,Germany,2009
863,7717,9,3,3,16.0,15,4.0,4,4,5.0,60,21.099,5824409.0,50.0,7.0,01:34.4,196.315,Finished,20,NÌ_rburgring,Germany,2009
864,7718,9,18,23,22.0,3,5.0,5,5,4.0,60,23.609,5826919.0,53.0,6.0,01:34.3,196.63,Finished,20,NÌ_rburgring,Germany,2009
865,7719,9,22,23,23.0,2,6.0,6,6,3.0,60,24.468,5827778.0,54.0,11.0,01:34.7,195.749,Finished,20,NÌ_rburgring,Germany,2009
866,7720,9,4,4,7.0,12,7.0,7,7,2.0,60,24.888,5828198.0,49.0,1.0,01:33.4,198.498,Finished,20,NÌ_rburgring,Germany,2009
867,7721,9,5,1,2.0,6,8.0,8,8,1.0,60,58.692,5862002.0,59.0,17.0,01:35.5,194.011,Finished,20,NÌ_rburgring,Germany,2009
868,7722,9,10,7,10.0,20,9.0,9,9,0.0,60,+1:01.457,5864767.0,40.0,16.0,01:35.4,194.327,Finished,20,NÌ_rburgring,Germany,2009
869,7723,9,2,2,6.0,11,10.0,10,10,0.0,60,+1:01.925,5865235.0,42.0,10.0,01:34.6,195.991,Finished,20,NÌ_rburgring,Germany,2009
